date,open,high,low,close,volume
26-Apr-24,22620.4,22620.4,22385.55,22419.95,329887340
29-Apr-24,22475.55,22655.8,22441.9,22643.4,291957361
30-Apr-24,22679.65,22783.35,22568.4,22604.85,361859375
2-May-24,22567.85,22710.5,22567.85,22648.2,445909456
3-May-24,22766.35,22794.7,22348.05,22475.85,438060727
6-May-24,22561.6,22588.8,22409.45,22442.7,320255789
7-May-24,22489.75,22499.05,22232.05,22302.5,297815469
8-May-24,22231.2,22368.65,22185.2,22302.5,277438692
9-May-24,22224.8,22307.75,21932.4,21957.5,331327454
10-May-24,21990.95,22131.3,21950.3,22055.2,265804411
13-May-24,22027.95,22131.65,21821.05,22104.05,278186886
14-May-24,22112.9,22270.05,22081.25,22217.85,230238941
15-May-24,22255.6,22297.55,22151.75,22200.55,231935478
16-May-24,22319.2,22432.25,22054.55,22403.85,368945092
17-May-24,22415.25,22502.15,22345.65,22466.1,242654570
18-May-24,22512.85,22520.25,22470.05,22502,19064566
21-May-24,22404.55,22591.1,22404.55,22529.05,347591587
22-May-24,22576.6,22629.5,22483.15,22597.8,290345590
23-May-24,22614.1,22993.6,22577.45,22967.65,369767547
24-May-24,22930.75,23026.4,22908,22957.1,261927120
27-May-24,23038.95,23110.8,22871.2,22932.45,260006078
28-May-24,22977.15,22998.55,22858.5,22888.15,217890750
29-May-24,22762.75,22825.5,22685.45,22704.7,269932784
30-May-24,22617.45,22705.75,22417,22488.65,373374457
31-May-24,22568.1,22653.75,22465.1,22530.7,572122639
3-Jun-24,23337.9,23338.7,23062.3,23263.9,569425569
4-Jun-24,23179.5,23179.5,21281.45,21884.5,1006105058
5-Jun-24,22128.35,22670.4,21791.95,22620.35,638487077
6-Jun-24,22798.6,22910.15,22642.6,22821.4,480413289
7-Jun-24,22821.85,23320.2,22789.05,23290.15,473554898
10-Jun-24,23319.15,23411.9,23227.15,23259.2,304392368
11-Jun-24,23283.75,23389.45,23206.65,23264.85,305185666
12-Jun-24,23344.45,23441.95,23295.95,23322.95,295630910
13-Jun-24,23480.95,23481.05,23353.9,23398.9,268279841
14-Jun-24,23464.95,23490.4,23334.25,23465.6,223086741
18-Jun-24,23570.8,23579.05,23499.7,23557.9,272207297
