CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"42,994","5,510","5,79,723",13.49,9.70,-,"5,720",9.70,9.75,"10,075","25,850.00",195,595.05,597.65,195,-73.25,600.65,-,"2,440",-227,"3,436",
,"97,217","-8,942","8,13,273",13.81,8.25,-,"7,150",8.25,8.30,"4,615","25,900.00",195,643.70,645.80,195,-81.15,647.25,-,"7,719","-2,075","13,981",
,"37,640","-8,220","4,36,210",14.24,7.25,0.35,"4,745",7.30,7.35,"12,480","25,950.00",65,692.00,696.00,65,-67.00,713.70,-,785,-125,"1,968",
,"2,16,435","-9,983","12,16,473",14.71,6.50,0.45,"8,905",6.50,6.55,"24,960","26,000.00",130,742.70,744.75,65,-82.95,746.65,-,"21,348","-4,587","64,979",
,"25,896","1,309","3,12,602",15.08,5.70,0.45,"3,575",5.70,5.75,"11,115","26,050.00",130,791.35,794.45,65,-48.10,824.85,-,478,-105,"1,461",
,"83,386","5,644","5,20,597",15.52,5.05,0.45,"19,435",5.00,5.05,"6,175","26,100.00",260,840.85,844.80,65,-80.10,845.00,-,"2,067",-944,"19,214",
,"25,410",973,"2,65,796",16.00,4.65,0.45,"6,565",4.65,4.70,"9,620","26,150.00",520,887.25,893.70,65,-62.40,914.80,-,173,-65,"1,857",
,"1,20,420","9,960","5,62,179",16.44,4.30,0.50,"17,875",4.25,4.30,"11,765","26,200.00",390,938.60,943.15,65,-90.75,941.20,-,"2,596",-976,"22,999",
,"31,724","4,062","1,81,550",16.96,3.95,0.50,"7,020",3.95,4.00,"15,210","26,250.00",520,986.95,992.75,65,-57.10,"1,024.05",-,311,-195,"2,593",
,"85,786","5,812","4,23,238",17.37,3.60,0.35,"13,195",3.55,3.60,"14,820","26,300.00",390,"1,036.45","1,042.50",65,-78.25,"1,048.40",-,"2,034",-962,"13,546",
,"14,590","2,769","1,41,708",17.83,3.35,0.35,"7,410",3.30,3.35,"3,250","26,350.00",65,"1,086.05","1,093.35",130,-61.05,"1,110.00",10.93,221,-125,741,
,"68,993","12,955","3,33,661",18.27,3.05,0.30,"46,280",3.00,3.05,"22,555","26,400.00",130,"1,135.90","1,141.50",65,-80.00,"1,150.00",-,768,-237,"6,589",
,"11,704",376,"1,05,965",18.86,2.95,0.35,"37,830",2.95,3.00,"16,510","26,450.00",130,"1,183.60","1,194.25",650,-49.15,"1,231.55",-,26,-13,467,
,"1,63,392","12,226","5,19,500",19.35,2.85,0.45,"1,03,480",2.85,2.90,"37,765","26,500.00",65,"1,238.50","1,242.50",130,-76.70,"1,245.00",-,"1,664",-815,"22,066",
,"10,298","2,946","88,290",19.82,2.60,0.35,"46,995",2.60,2.65,"23,140","26,550.00",195,"1,285.95","1,309.45",715,-104.45,"1,283.10",-,20,-10,246,
,"56,136","10,151","2,97,682",20.17,2.45,0.30,"78,455",2.40,2.45,"13,585","26,600.00",260,"1,334.90","1,341.25",65,-53.65,"1,359.15",-,710,-548,"2,854",
,"10,591","3,242","1,06,017",20.72,2.35,0.35,"16,445",2.35,2.40,"34,450","26,650.00",65,"1,384.95","1,407.10",65,-108.40,"1,371.60",-,5,-1,141,
,"47,325","-8,941","1,81,511",21.14,2.25,0.45,"34,385",2.25,2.30,"49,075","26,700.00",65,"1,432.75","1,445.25",130,-45.65,"1,457.20",23.64,46,-9,857,
,"7,171",43,"71,016",21.74,2.25,0.45,"32,370",2.20,2.25,"55,380","26,750.00",65,"1,485.55","1,509.30",65,-,-,-,-,-,43,
,"51,141","-11,136","2,17,902",22.20,2.05,0.35,"13,585",2.05,2.10,"57,265","26,800.00",65,"1,530.95","1,540.85",65,-29.20,"1,583.40",-,125,-101,"2,915",
,"5,993",64,"61,165",22.71,2.05,0.40,"31,590",2.05,2.10,"34,905","26,850.00",780,"1,546.65","1,602.00",390,100.65,"1,598.20",-,3,-,21,
,"31,966","-1,093","1,09,907",23.15,1.90,0.35,"24,700",1.90,1.95,"59,475","26,900.00",65,"1,597.25","1,645.20",390,-60.80,"1,668.15",-,37,-7,377,
,"6,716","2,211","66,032",23.87,2.05,0.45,"31,265",2.00,2.05,"31,590","26,950.00",65,"1,681.90","1,695.15",65,-163.50,"1,709.60",-,7,-,64,
,"1,06,967","-5,348","3,32,556",24.30,1.90,0.35,"1,03,935",1.90,1.95,"87,425","27,000.00",65,"1,735.50","1,740.00",65,-85.90,"1,734.05",-,"2,873","-1,834","13,744",
,"3,073",-676,"37,114",24.71,1.80,0.40,"10,465",1.80,1.85,"42,575","27,050.00",65,"1,781.80","1,806.10",65,97.45,"1,830.30",-,5,-1,11,
,"24,096","-5,376","74,533",25.11,1.70,0.35,"11,895",1.70,1.75,"48,815","27,100.00",65,"1,832.80","1,854.45",130,-137.20,"1,707.25",-,33,-21,697,
,"2,847","-1,590","38,210",25.58,1.65,0.30,"27,560",1.65,1.70,"35,230","27,150.00",780,"1,845.05","1,943.45",780,-,-,-,-,-,4,
,"40,266",-35,"1,40,549",25.95,1.55,0.35,"34,775",1.55,1.60,"70,070","27,200.00",65,"1,931.75","1,941.55",130,-52.30,"1,947.70",-,15,-9,357,
,"3,509",453,"33,563",26.69,1.60,0.35,"17,680",1.60,1.65,"36,595","27,250.00",780,"1,941.00","2,043.15",780,-,-,-,-,-,6,
,"32,114","-3,238","62,948",27.05,1.55,0.35,"33,800",1.50,1.55,"28,015","27,300.00",65,"2,031.65","2,045.35",260,-5.15,"2,083.70",-,17,-9,124,
,"3,529",211,"27,648",27.60,1.60,0.40,"24,375",1.55,1.60,"23,985","27,350.00",130,"2,080.80","2,132.00",780,-,-,-,-,-,14,
,"17,579",-226,"46,346",27.94,1.45,0.30,"30,160",1.45,1.50,"29,575","27,400.00",780,"2,094.55","2,144.65",260,-42.55,"2,165.00",-,22,-5,69,
,"2,348",-9,"23,961",28.69,1.55,0.40,"16,510",1.50,1.55,"9,555","27,450.00",780,"2,161.00","2,236.50",845,-,-,-,-,-,2,
,"51,164","-3,172","1,29,427",29.12,1.50,0.35,"34,580",1.45,1.50,"25,155","27,500.00",65,"2,237.95","2,239.25",195,-82.80,"2,241.80",-,"1,624","-1,277","9,062",
,"2,608",18,"28,396",29.66,1.50,0.30,"14,495",1.50,1.55,"25,935","27,550.00",780,"2,242.50","2,327.40",845,-,-,-,-,-,2,
,"20,600",816,"60,673",30.51,1.65,0.35,"43,160",1.65,1.70,"23,400","27,600.00",65,"2,316.90","2,348.35",65,-7.60,"2,380.00",-,10,-9,79,
,"2,120",89,"28,529",30.94,1.60,0.35,"24,115",1.55,1.60,"22,100","27,650.00",780,"2,343.25","2,436.75",845,-,-,-,-,-,4,
,"19,133",-262,"72,470",31.69,1.70,0.35,"51,545",1.65,1.70,"14,430","27,700.00",780,"2,392.90","2,453.55",65,79.10,"2,483.10",-,67,-36,115,
,"1,360",-43,"29,543",32.01,1.60,0.40,"21,515",1.55,1.60,"8,645","27,750.00",65,"2,462.30","2,524.75",845,-,-,-,-,-,3,
,"18,427",-181,"38,201",32.54,1.60,0.30,"30,615",1.55,1.60,"21,905","27,800.00",65,"2,516.10","2,542.45",65,-79.00,"2,550.85",-,52,-34,335,
,615,20,"3,229",32.95,1.65,0.40,65,1.55,1.65,585,"27,850.00",65,"2,574.55","2,637.75","1,820",-,-,-,-,-,4,
,"20,309",-818,"49,006",33.59,1.60,0.25,"11,765",1.55,1.60,"6,435","27,900.00",65,"2,633.25","2,638.60",260,-78.15,"2,650.00",-,626,-500,"4,490",
,"2,554",-83,"22,351",34.00,1.55,0.35,"12,675",1.50,1.60,"7,410","27,950.00",65,"2,680.50","2,689.55",65,-56.90,"2,731.60",-,70,-45,742,
,"24,074","1,019","67,848",34.52,1.50,0.25,"38,090",1.50,1.55,"11,440","28,000.00",65,"2,731.70","2,739.30",130,-93.25,"2,729.20",-,455,-67,"1,341",
,"1,837",251,"24,173",34.91,1.50,0.30,"10,140",1.45,1.50,"6,955","28,050.00",65,"2,776.00","2,822.05",845,-,-,-,-,-,4,
,"14,106","1,301","63,622",35.04,1.35,0.25,"19,370",1.30,1.35,"24,310","28,100.00",65,"2,826.15","2,862.35",130,-,-,-,-,-,11,
