CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"52,878","1,569","2,57,931",26.29,1.85,0.55,195,1.85,1.95,"1,560","26,800.00",65,"1,663.75","1,725.25",65,273.30,"1,725.40",28.41,"2,199","-1,445","1,455",
,"13,292","7,171","80,985",26.76,1.75,0.45,"1,235",1.75,1.80,260,"26,850.00",390,"1,712.15","1,819.70","1,235",-,"1,598.20",-,-,-,21,
,"37,691","5,775","1,72,554",27.49,1.80,0.65,130,1.85,1.90,845,"26,900.00",65,"1,803.30","1,825.00",130,314.25,"1,824.75",29.11,66,-35,339,
,"4,674",541,"48,927",28.22,1.85,0.65,65,1.85,1.95,780,"26,950.00",390,"1,810.85","1,912.50",390,244.00,"1,859.20",-,3,-1,61,
,"1,02,068","-3,905","4,70,354",28.57,1.70,0.50,65,1.70,1.75,"13,520","27,000.00",130,"1,908.00","1,916.15",65,281.00,"1,915.00",-,"6,053","-3,803","9,564",
,"3,137",358,"47,100",29.39,1.80,0.65,195,1.75,1.80,"1,300","27,050.00",390,"1,917.15","2,019.55",715,-,"1,830.30",-,-,-,7,
,"7,636","-16,232","1,18,798",30.02,1.80,0.75,130,1.80,1.90,"1,365","27,100.00",65,"2,006.35","2,048.40",65,303.90,"2,014.20",-,641,-219,461,
,"1,915",-817,"36,154",30.74,1.85,0.75,"2,665",1.80,1.95,"1,885","27,150.00",390,"2,011.15","2,119.70",715,-2.35,"1,843.55",-,-,-,4,
,"15,621","-22,940","1,59,524",31.37,1.85,0.85,845,1.80,1.90,845,"27,200.00",65,"2,057.85","2,126.05",65,282.95,"2,124.70",33.46,169,-85,273,
,"1,905","-1,563","42,287",31.99,1.85,0.80,"4,160",1.75,1.85,"2,470","27,250.00",390,"2,109.85","2,212.75",715,-3.50,"1,939.75",-,-,-,6,
,"10,456","-20,711","1,12,630",32.30,1.70,0.75,"5,785",1.70,1.80,"1,365","27,300.00",65,"2,158.95","2,248.45",65,209.25,"2,185.00",-,38,-6,118,
,"2,276","-1,067","42,014",33.12,1.80,0.80,"3,315",1.65,1.80,845,"27,350.00",390,"2,206.55","2,319.45",715,-,"2,072.20",-,-,-,14,
,"8,404","-9,298","81,806",33.41,1.65,0.75,"3,770",1.65,1.75,"4,095","27,400.00",65,"2,260.35","2,325.40",65,253.00,"2,312.45",-,51,-14,55,
,"1,929",-396,"33,771",34.01,1.65,0.65,"15,080",1.60,1.75,"1,235","27,450.00",65,"2,317.15","2,411.90",715,-,"2,083.25",-,-,-,2,
,"36,678","-13,475","1,62,408",34.38,1.55,0.65,"3,185",1.55,1.65,650,"27,500.00",195,"2,410.00","2,420.75",65,261.95,"2,412.00",-,"5,435","-3,228","5,342",
,"1,836",-755,"32,748",34.85,1.50,0.60,"4,355",1.50,1.55,325,"27,550.00",390,"2,405.90","2,519.45",390,-4.20,"2,304.65",-,-,-,2,
,"4,911","-16,445","89,441",35.45,1.50,0.45,"1,430",1.50,1.55,"5,915","27,600.00",65,"2,458.25","2,543.40",65,235.35,"2,515.35",-,14,-4,78,
,"2,158",108,"31,397",35.77,1.40,0.40,130,1.40,1.65,845,"27,650.00","1,755","2,155.45","2,719.20","1,755",33.50,"2,385.00",-,-,-,4,
,"6,911","-11,919","97,288",35.77,1.20,0.15,"1,235",1.20,1.25,"1,495","27,700.00",65,"2,557.25","2,643.15",65,234.95,"2,613.40",-,75,-36,69,
,"1,469",335,"24,411",36.66,1.30,0.25,"1,625",1.30,1.50,650,"27,750.00","1,755","2,243.05","2,821.05","1,365",-3.55,"2,434.55",-,-,-,3,
,"9,820","-8,503","84,331",36.42,1.05,-,130,1.05,1.30,780,"27,800.00",65,"2,681.15","2,733.25",65,254.65,"2,712.00",-,82,-54,274,
,658,152,"7,910",37.16,1.10,0.10,65,1.05,1.35,"1,755","27,850.00",65,"2,338.10","2,921.45","1,755",-4.45,"2,538.05",-,-,-,4,
,"8,535","-11,725","73,829",37.18,0.95,-0.05,"1,170",0.95,1.10,"1,235","27,900.00",65,"2,776.40","2,830.90",65,254.30,"2,818.30",-,"1,672","-1,302","3,005",
,"3,706",948,"25,240",38.47,1.15,0.15,130,1.10,1.15,"21,515","27,950.00",65,"2,832.95","2,868.00",130,140.50,"2,872.10",39.15,400,-232,503,
,"26,868","3,267","1,49,070",39.20,1.20,0.20,"1,300",1.20,1.25,845,"28,000.00",65,"2,899.80","2,918.85",260,268.70,"2,910.00",-,"1,992",-266,"1,085",
,"1,896",129,"21,185",39.42,1.10,0.15,"1,755",0.90,1.20,"1,495","28,050.00","1,755","2,480.65","3,373.65",780,-,"2,682.85",-,-,-,4,
,"19,869","6,392","92,766",40.50,1.25,0.45,"2,795",1.15,1.20,"1,950","28,100.00",65,"2,954.00","3,063.45","1,755",-40.10,"2,800.00",-,1,-,11,
